"data__propertyLookup__address__slug","data__propertyLookup__address__fullAddress","data__propertyLookup__address__hcAddressId","data__propertyLookup__address__streetAddress","data__propertyLookup__address__unit","data__propertyLookup__address__city","data__propertyLookup__address__state","data__propertyLookup__address__zipcode","data__propertyLookup__address__zipcodePlus4","data__propertyLookup__avm__priceUpper","data__propertyLookup__avm__priceLower","data__propertyLookup__avm__fsd","data__propertyLookup__avm__quality","data__propertyLookup__avm__priceMean","data__propertyLookup__livingSpace__bedrooms__count","data__propertyLookup__livingSpace__bathrooms__summaryCount","data__propertyLookup__rentalAvm__priceMean","data__propertyLookup__rentalAvm__priceUpper","data__propertyLookup__rentalAvm__priceLower","data__propertyLookup__rentalAvm__fsd","data__propertyLookup__rentalAvm__quality","data__propertyLookup__rentalYield","data__propertyLookup__latestAssessment__taxSummary__amount","data__propertyLookup__latestAssessment__taxSummary__year"
"1140-W-Marquette-Rd-Chicago-IL-60621","1140 W Marquette Rd Chicago IL 60621",19413866,"1140 W Marquette Rd","","Chicago","IL","60621","1244",190575,96155,0.3292993,"LOW",143365,3,2,1842,2091,1595,0.1346363,"LOW",0.1542,34.09,2021
"1141-W-61st-St-Chicago-IL-60621","1141 W 61st St Chicago IL 60621",20249850,"1141 W 61st St","","Chicago","IL","60621","1449",,,,,,,,,,,,,,,
"1141-W-71st-St-Chicago-IL-60621","1141 W 71st St Chicago IL 60621",65836032,"1141 W 71st St","","Chicago","IL","60621","1048",,,,,,,,,,,,,,,
"1142-W-Marquette-Rd-Chicago-IL-60621","1142 W Marquette Rd Chicago IL 60621",50280087,"1142 W Marquette Rd","","Chicago","IL","60621","1244",125784,64294,0.3234988,"LOW",95039,5,1.5,1382,1643,1122,0.1884949,"LOW",0.1745,502.34,2021
"1143-W-70th-St-Chicago-IL-60621","1143 W 70th St Chicago IL 60621",183227519,"1143 W 70th St","","Chicago","IL","60621","1139",,,,,,,,,,,,,,,
"1143-W-71st-St-Chicago-IL-60621","1143 W 71st St Chicago IL 60621",65835883,"1143 W 71st St","","Chicago","IL","60621","1048",82374,52610,0.2205002,"LOW",67492,5,2,1578,1900,1256,0.2040558,"LOW",0.2806,745.64,2021
"1143-W-72nd-St-Chicago-IL-60621","1143 W 72nd St Chicago IL 60621",65900038,"1143 W 72nd St","","Chicago","IL","60621","",,,,,,,,,,,,,,,
"1144-W-68th-St-Chicago-IL-60621","1144 W 68th St Chicago IL 60621",34652729,"1144 W 68th St","","Chicago","IL","60621","1144",,,,,,4,2,1049,1072,1027,0.021449,"HIGH",0.0572,1306.92,2021
"1145-W-59th-St-Chicago-IL-60621","1145 W 59th St Chicago IL 60621",50696742,"1145 W 59th St","","Chicago","IL","60621","1452",,,,,,,,,,,,,,,
"1145-W-61st-St-Chicago-IL-60621","1145 W 61st St Chicago IL 60621",56661334,"1145 W 61st St","","Chicago","IL","60621","1449",116553,45191,0.4412034,"LOW",80872,3,1,1631,1916,1347,0.1744329,"LOW",0.242,603.27,2021
"1145-W-70th-St-Chicago-IL-60621","1145 W 70th St Chicago IL 60621",189462382,"1145 W 70th St","","Chicago","IL","60621","1139",,,,,,,,,,,,,,,
"1145-W-71st-St-Chicago-IL-60621","1145 W 71st St Chicago IL 60621",134921685,"1145 W 71st St","","Chicago","IL","60621","1048",104203,34799,0.4993022,"LOW",69501,2,1,1634,1941,1328,0.1875765,"LOW",0.2821,,2021
"1145-W-Marquette-Rd-Chicago-IL-60621","1145 W Marquette Rd Chicago IL 60621",15305659,"1145 W Marquette Rd","","Chicago","IL","60621","1243",,,,,,,,,,,,,,,
"1146-W-61st-St-Chicago-IL-60621","1146 W 61st St Chicago IL 60621",13214495,"1146 W 61st St","","Chicago","IL","60621","1457",,,,,,,,,,,,,,,
"1146-W-68th-St-Chicago-IL-60621","1146 W 68th St Chicago IL 60621",57210087,"1146 W 68th St","","Chicago","IL","60621","1144",,,,,,,,,,,,,,,
"1146-W-69th-St-Chicago-IL-60621","1146 W 69th St Chicago IL 60621",8758319,"1146 W 69th St","","Chicago","IL","60621","1148",,,,,,,,,,,,,,,
"1146-W-Marquette-Rd-Chicago-IL-60621","1146 W Marquette Rd Chicago IL 60621",3992973,"1146 W Marquette Rd","","Chicago","IL","60621","1244",,,,,,,,,,,,,,,
"1147-W-Garfield-Blvd-Chicago-IL-60621","1147 W Garfield Blvd Chicago IL 60621",5934388,"1147 W Garfield Blvd","","Chicago","IL","60621","1552",464834,233272,0.3317003,"LOW",349053,,,1870,3009,732,0.6088235,"LOW",0.0643,2547.54,2021
"1147-W-Marquette-Rd-Chicago-IL-60621","1147 W Marquette Rd Chicago IL 60621",26611918,"1147 W Marquette Rd","","Chicago","IL","60621","1243",256985,120019,0.3633012,"LOW",188502,,,1750,2179,1321,0.2451429,"LOW",0.1114,1341.01,2021
"1148-W-61st-St-Chicago-IL-60621","1148 W 61st St Chicago IL 60621",50412288,"1148 W 61st St","","Chicago","IL","60621","1457",,,,,,,,,,,,,,,
"1148-W-63rd-St-Chicago-IL-60621","1148 W 63rd St Chicago IL 60621",59248109,"1148 W 63rd St","","Chicago","IL","60621","1346",,,,,,,,,,,,,,,
"1148-W-68th-St-Chicago-IL-60621","1148 W 68th St Chicago IL 60621",37966239,"1148 W 68th St","","Chicago","IL","60621","1144",,,,,,,,,,,,,,,
"1149-W-71st-St-Chicago-IL-60621","1149 W 71st St Chicago IL 60621",65835679,"1149 W 71st St","","Chicago","IL","60621","1048",,,,,,,,,,,,,,,
"1149-W-Marquette-Rd-Chicago-IL-60621","1149 W Marquette Rd Chicago IL 60621",6000314,"1149 W Marquette Rd","","Chicago","IL","60621","1243",,,,,,6,2,2283,2865,1702,0.2547087,"LOW",0.0625,,
"115-W-66TH-ST-CHICAGO-IL-60621","115 W 66TH ST CHICAGO IL 60621",65595305,"115 W 66TH ST","","CHICAGO","IL","60621","",,,,,,,,,,,,,,,
"115-W-74th-St-Chicago-IL-60621","115 W 74th St Chicago IL 60621",30305888,"115 W 74th St","","Chicago","IL","60621","3403",224470,109662,0.3436007,"LOW",167066,4,2,1348,1815,881,0.3464392,"LOW",0.0968,2613.97,2021
"1150-W-59th-St-Chicago-IL-60621","1150 W 59th St Chicago IL 60621",41097956,"1150 W 59th St","","Chicago","IL","60621","1453",103092,12644,0.7815027,"LOW",57868,,,,,,,,,,
"1150-W-63rd-St-Chicago-IL-60621","1150 W 63rd St Chicago IL 60621",31371367,"1150 W 63rd St","","Chicago","IL","60621","1346",,,,,,,,,,,,,,,
"1150-W-64th-St-Chicago-IL-60621","1150 W 64th St Chicago IL 60621",184791696,"1150 W 64th St","","Chicago","IL","60621","1348",,,,,,,,,,,,,,,
"1150-W-65th-St-Chicago-IL-60621","1150 W 65th St Chicago IL 60621",188303939,"1150 W 65th St","","Chicago","IL","60621","1248",,,,,,,,,,,,,,,
"1151-W-59th-St-Chicago-IL-60621","1151 W 59th St Chicago IL 60621",12880331,"1151 W 59th St","","Chicago","IL","60621","1452",168877,69903,0.4144987,"LOW",119390,,,1397,1683,1112,0.2043665,"LOW",0.1404,703.79,2021
"1151-W-71st-St-Chicago-IL-60621","1151 W 71st St Chicago IL 60621",65835609,"1151 W 71st St","","Chicago","IL","60621","1048",,,,,,,,,,,,,,,
"1151-W-Garfield-Blvd-Chicago-IL-60621","1151 W Garfield Blvd Chicago IL 60621",50395964,"1151 W Garfield Blvd","","Chicago","IL","60621","1552",378933,211121,0.2844011,"LOW",295027,,,1806,3023,590,0.673588,"LOW",0.0735,2211.82,2021
"1152-W-63rd-St-Chicago-IL-60621","1152 W 63rd St Chicago IL 60621",12128612,"1152 W 63rd St","","Chicago","IL","60621","1346",,,,,,,,,,,,,,,
"1153-W-71st-St-Chicago-IL-60621","1153 W 71st St Chicago IL 60621",65835027,"1153 W 71st St","","Chicago","IL","60621","1048",,,,,,,,,,,,,,,
"1154-W-69th-St-Chicago-IL-60621","1154 W 69th St Chicago IL 60621",58802335,"1154 W 69th St","","Chicago","IL","60621","1148",,,,,,,,,,,,,,,
"1154-W-Marquette-Rd-Chicago-IL-60621","1154 W Marquette Rd Chicago IL 60621",544273,"1154 W Marquette Rd","","Chicago","IL","60621","1244",80460,25138,0.5238925,"LOW",52799,3,2,972,1281,664,0.3173868,"LOW",0.2209,301.63,2021
"1155-W-Garfield-Blvd-Chicago-IL-60621","1155 W Garfield Blvd Chicago IL 60621",50535262,"1155 W Garfield Blvd","","Chicago","IL","60621","1552",287124,139636,0.3455994,"LOW",213380,,,,,,,,,1910.19,2021
"1156-W-63rd-St-Chicago-IL-60621","1156 W 63rd St Chicago IL 60621",58585123,"1156 W 63rd St","","Chicago","IL","60621","1346",386253,248509,0.217001,"LOW",317381,,,,,,,,,2815.28,2021
"1156-W-69th-St-Chicago-IL-60621","1156 W 69th St Chicago IL 60621",49532226,"1156 W 69th St","","Chicago","IL","60621","1148",,,,,,,,,,,,,,,
"1157-W-59th-St-Chicago-IL-60621","1157 W 59th St Chicago IL 60621",38898577,"1157 W 59th St","","Chicago","IL","60621","1452",,,,,,,,,,,,,,,
"1158-W-65th-St-Chicago-IL-60621","1158 W 65th St Chicago IL 60621",189939230,"1158 W 65th St","","Chicago","IL","60621","1248",,,,,,,,,,,,,,,
"1158-W-68th-St-Chicago-IL-60621","1158 W 68th St Chicago IL 60621",49928045,"1158 W 68th St","","Chicago","IL","60621","1144",,,,,,,,,,,,,,,
"1158-W-Marquette-Rd-Chicago-IL-60621","1158 W Marquette Rd Chicago IL 60621",27599441,"1158 W Marquette Rd","","Chicago","IL","60621","1244",301708,168462,0.2833996,"LOW",235085,,,1754,2962,547,0.6884265,"LOW",0.0895,1341.21,2021
"1159-W-Garfield-Blvd-Chicago-IL-60621","1159 W Garfield Blvd Chicago IL 60621",3302027,"1159 W Garfield Blvd","","Chicago","IL","60621","1552",,,,,,,,,,,,,,,
"117-W-74th-St-Chicago-IL-60621","117 W 74th St Chicago IL 60621",16516692,"117 W 74th St","","Chicago","IL","60621","3403",268695,145159,0.2985014,"LOW",206927,,,1705,2083,1328,0.2214076,"LOW",0.0989,2613.97,2021
"124-W-75th-St-Chicago-IL-60621","124 W 75th St Chicago IL 60621",19576927,"124 W 75th St","","Chicago","IL","60621","3471",397425,276577,0.1792992,"LOW",337001,,,1819,2321,1318,0.2757009,"LOW",0.0648,3620.47,2021
"130-W-75th-St-Chicago-IL-60621","130 W 75th St Chicago IL 60621",65037464,"130 W 75th St","","Chicago","IL","60621","3471",,,,,,,,,,,,,,,
"134-W-66th-St-Chicago-IL-60621","134 W 66th St Chicago IL 60621",37983740,"134 W 66th St","","Chicago","IL","60621","3842",,,,,,,,,,,,,,,
"134-W-71st-St-Chicago-IL-60621","134 W 71st St Chicago IL 60621",57007312,"134 W 71st St","","Chicago","IL","60621","3617",433338,184040,0.4038012,"LOW",308689,,,,,,,,,4222.73,2021
"136-W-75th-St-Chicago-IL-60621","136 W 75th St Chicago IL 60621",64734646,"136 W 75th St","","Chicago","IL","60621","3471",,,,,,,,,,,,,,,
"137-W-Marquette-Rd-Chicago-IL-60621","137 W Marquette Rd Chicago IL 60621",55572264,"137 W Marquette Rd","","Chicago","IL","60621","3747",,,,,,,,,,,,,,,
"138-W-66th-St-Chicago-IL-60621","138 W 66th St Chicago IL 60621",29684958,"138 W 66th St","","Chicago","IL","60621","3842",,,,,,,,,,,,,,,
"138-W-70th-St-Chicago-IL-60621","138 W 70th St Chicago IL 60621",179756165,"138 W 70th St","","Chicago","IL","60621","3679",,,,,,,,,,,,,,,
